image_link,ext,style_g,style_v,style_e,style_council,new
../../capstone_more_images/old/photo-14608791-jyQauT.jpg,1,,,,,
../../capstone_more_images/old/photo-14609889-YgesZI.jpg,1,,,,,
../../capstone_more_images/old/photo-14610133-lVFLzA.jpg,1,,,,,
../../capstone_more_images/old/photo-14610354-t0oiPD.jpg,1,,1,,,
../../capstone_more_images/old/photo-14612401-Q9o4YF.jpg,1,,,,,
../../capstone_more_images/old/photo-14613062-F3TN6t.jpg,1,,,,,
../../capstone_more_images/old/photo-14614016-MqSeaZ.jpg,0,,,,,
../../capstone_more_images/old/photo-14614409-MGByGW.jpg,1,,,,,
../../capstone_more_images/old/photo-14614588-aFfAR0.jpg,1,,,,,
../../capstone_more_images/old/photo-14614695-lFIq5Z.jpg,1,,1,,,
../../capstone_more_images/old/photo-14614749-NimuXW.jpg,1,,,,,
../../capstone_more_images/old/photo-14614843-smu1J6.jpg,1,1,,,,
../../capstone_more_images/old/photo-14615085-cLAttI.jpg,0,,,,,
../../capstone_more_images/old/photo-14615247-Sr7TZ4.jpg,1,1,,,,
../../capstone_more_images/old/photo-14615266-nX1L9r.jpg,0,,,,,
../../capstone_more_images/old/photo-14615395-kJNAml.jpg,0,,,,,
../../capstone_more_images/old/photo-14615909-l8iras.jpg,0,,,,,
../../capstone_more_images/old/photo-14616177-EPCS1P.jpg,1,,,,,
../../capstone_more_images/old/photo-14617411-PW4VLT.jpg,1,,,,,
../../capstone_more_images/old/photo-14617918-g0X6Gt.jpg,1,,,,1,
../../capstone_more_images/old/photo-14619638-hC28Zi.jpg,1,,,,,
../../capstone_more_images/old/photo-14621525-4hL0JX.jpg,1,,,,,
../../capstone_more_images/old/photo-14621564-FB5vqU.jpg,1,,,,,
../../capstone_more_images/old/photo-14622077-030EAh.jpg,0,,,,,
../../capstone_more_images/old/photo-14622117-6g4X04.jpg,0,,,,,
../../capstone_more_images/old/photo-14622135-PBWYK4.jpg,0,,,,,
../../capstone_more_images/old/photo-14622241-BlGHrG.jpg,0,,,,,
../../capstone_more_images/old/photo-14622307-I3PqUQ.jpg,0,,,,,
../../capstone_more_images/old/photo-14622342-kBAFRj.jpg,1,,,,1,
../../capstone_more_images/old/photo-14622646-i4WuuA.jpg,1,,,,,
../../capstone_more_images/old/photo-14623157-ZFTPlS.jpg,1,,,,,
../../capstone_more_images/old/photo-14623332-jTbloT.jpg,0,,,,,
../../capstone_more_images/old/photo-14625165-xdw7qT.jpg,1,,,,,
../../capstone_more_images/old/photo-14629232-FitVNi.jpg,1,0,,,,
../../capstone_more_images/old/photo-14629239-JKDsFL.jpg,1,,,,,
../../capstone_more_images/old/photo-14630879-rAXKfF.jpg,1,1,,,,
../../capstone_more_images/old/photo-14631080-PlIwgM.jpg,1,,1,,,
../../capstone_more_images/old/photo-14631206-VxHoGH.jpg,1,,1,,,
../../capstone_more_images/old/photo-14631220-gEHOE6.jpg,1,1,,,,
